,tweets,len,ID,Date,Source,Likes,RTs
508,Do watch my interview with @sudhirchaudhary of @ZeeNews on a wide range of issues! https://t.co/gTRS4K5c3Y,106,1.12649E+18,09-05-19 14:30,Periscope,14799,4656
509,Addressing a BJP rally in the holy city of Prayagraj. Watch. https://t.co/Za2AEK09NQ,84,1.12648E+18,09-05-19 13:22,Periscope,13074,3539
510,"RT @ZeeNews: #ModiOnZee: Don’t miss PM Narendra Modi’s ‘pure political’ interview with @sudhirchaudhary
tonight at 8 PM only on @ZeeNews 
@…",140,1.12646E+18,09-05-19 12:06,Twitter for iPhone,0,1907
511,"RT @ZeeNews: BJP will get majority in Lok Sabha elections, says PM Narendra Modi in an exclusive conversation with @sudhirchaudhary
MUST WA…",140,1.12646E+18,09-05-19 12:06,Twitter for iPhone,0,1380
512,"RT @ZeeNews: #ModiOnZee: War is not a solution to any problem, says PM Narendra Modi in an exclusive interview with @sudhirchaudhary 
Watch…",140,1.12646E+18,09-05-19 12:05,Twitter for iPhone,0,1198
513,Come and see the vibrancy here in Jaunpur. It’s BJP all the way! https://t.co/nzsNoBJwd7,88,1.12645E+18,09-05-19 11:23,Periscope,10570,2873
514,"Neither the Congress and Communists, nor TMC have shown any respect to the ideals of Gurudev Tagore. 

These are in… https://t.co/wnpM1I04F3",140,1.12645E+18,09-05-19 11:20,Twitter Media Studio,9406,2638
515,"Didi,

Instead of getting angry at me please address the angers of:

The poor whose money TMC has looted. 

Youngst… https://t.co/4VCWfWa6DM",140,1.12645E+18,09-05-19 11:14,Twitter Media Studio,16404,4590
516,"BJP won’t allow TMC to impose their culture of thuggery, loot, bullying and nepotism on West Bengal. https://t.co/RPjn77NQQ0",124,1.12644E+18,09-05-19 11:04,Twitter Media Studio,10399,2994
517,"She abuses me daily. 

Her party harasses innocent people and loots them. 

Under pressure from her, her administra… https://t.co/VkkKKAaTBQ",140,1.12644E+18,09-05-19 11:00,Twitter for iPhone,21675,5869
518,Azamgarh is going to elect a BJP MP. Watch my speech. https://t.co/6w6HY64YWG,77,1.12643E+18,09-05-19 10:06,Periscope,10871,3111
519,Spoke to @manogyaloiwal about issues concerning West Bengal. Do watch! https://t.co/XcVaIJQC9Q,94,1.12641E+18,09-05-19 8:45,Periscope,8747,2738
520,"See how people came out in large numbers on the streets of Purulia. The writing on the wall is clear, West Bengal i… https://t.co/fdA19qxTpW",140,1.1264E+18,09-05-19 8:29,Twitter Media Studio,30064,7631
521,Happy to be in Purulia. Sharing my speech at the huge BJP rally. https://t.co/4jrNvKZvQr,88,1.12637E+18,09-05-19 6:29,Periscope,11886,3112
522,This is how Bankura welcomed me...Grateful for the immense love! https://t.co/QpGx2LFkU7,88,1.12637E+18,09-05-19 6:28,Twitter Media Studio,56103,10671
523,TMC’s anti-democratic ways have angered people. No wonder people are blessing BJP. Watch from Bankura. https://t.co/aSBCOB8vdA,126,1.12635E+18,09-05-19 4:58,Periscope,10591,2951
524,"Will be addressing five rallies today. 

Looking forward to sharing NDA's development agenda with the people of Ban… https://t.co/Yo5vMxFiaJ",140,1.12631E+18,09-05-19 2:00,Twitter for iPhone,14428,3646
525,"Gurudev Tagore manifests the best of India’s ethos of learning and expressing. A multifaceted personality, his pros… https://t.co/EdnNJtquMW",140,1.12631E+18,09-05-19 1:56,Twitter for iPhone,12760,2806
526,Tributes to the great Gopal Krishna Gokhale on his birth anniversary. He was known for his penchant for learning an… https://t.co/A6LXtl0ohy,140,1.1263E+18,09-05-19 1:51,Twitter for iPhone,13424,2836
527,"In Haryana and Delhi, the message of 'Sabka Saath, Sabka Vikas' is clearly resonating among people. 

Congress and… https://t.co/KkDXX2Px9z",139,1.1263E+18,09-05-19 1:42,Twitter Media Studio,7954,2240
